X,Y,Label,Usuario,FrameID,Session
0.0,0.0,left_elbow,user1,6,20240429152430
0.0,0.0,right_elbow,user1,6,20240429152430
0.0,0.0,left_wrist,user1,6,20240429152430
0.0,0.0,right_wrist,user1,6,20240429152430
0.0,0.0,left_hip,user1,6,20240429152430
0.0,0.0,right_hip,user1,6,20240429152430
0.0,0.0,left_knee,user1,6,20240429152430
0.0,0.0,right_knee,user1,6,20240429152430
0.0,0.0,left_ankle,user1,6,20240429152430
0.0,0.0,right_ankle,user1,6,20240429152430
343.60516,186.37314,nose,user1,7,20240429152430
368.35095,155.16214,left_eye,user1,7,20240429152430
310.37656,156.36026,right_eye,user1,7,20240429152430
403.22006,172.92603,left_ear,user1,7,20240429152430
268.77707,179.29164,right_ear,user1,7,20240429152430
516.7017,374.05875,left_shoulder,user1,7,20240429152430
158.60161,370.81903,right_shoulder,user1,7,20240429152430
0.0,0.0,left_elbow,user1,7,20240429152430
0.0,0.0,right_elbow,user1,7,20240429152430
0.0,0.0,left_wrist,user1,7,20240429152430
0.0,0.0,right_wrist,user1,7,20240429152430
0.0,0.0,left_hip,user1,7,20240429152430
0.0,0.0,right_hip,user1,7,20240429152430
0.0,0.0,left_knee,user1,7,20240429152430
0.0,0.0,right_knee,user1,7,20240429152430
0.0,0.0,left_ankle,user1,7,20240429152430
0.0,0.0,right_ankle,user1,7,20240429152430
344.01364,185.14398,nose,user1,8,20240429152430
368.10144,154.75467,left_eye,user1,8,20240429152430
310.74432,155.51927,right_eye,user1,8,20240429152430
401.54553,174.08786,left_ear,user1,8,20240429152430
268.71808,179.76416,right_ear,user1,8,20240429152430
513.70874,370.83026,left_shoulder,user1,8,20240429152430
166.40015,370.88428,right_shoulder,user1,8,20240429152430
0.0,0.0,left_elbow,user1,8,20240429152430
0.0,0.0,right_elbow,user1,8,20240429152430
0.0,0.0,left_wrist,user1,8,20240429152430
0.0,0.0,right_wrist,user1,8,20240429152430
0.0,0.0,left_hip,user1,8,20240429152430
0.0,0.0,right_hip,user1,8,20240429152430
0.0,0.0,left_knee,user1,8,20240429152430
0.0,0.0,right_knee,user1,8,20240429152430
0.0,0.0,left_ankle,user1,8,20240429152430
0.0,0.0,right_ankle,user1,8,20240429152430
344.0326,186.08858,nose,user1,9,20240429152430
368.69995,156.15889,left_eye,user1,9,20240429152430
311.92682,156.34476,right_eye,user1,9,20240429152430
401.5396,175.05038,left_ear,user1,9,20240429152430
270.0407,178.76689,right_ear,user1,9,20240429152430
506.98895,368.2536,left_shoulder,user1,9,20240429152430
164.95663,368.25946,right_shoulder,user1,9,20240429152430
0.0,0.0,left_elbow,user1,9,20240429152430
0.0,0.0,right_elbow,user1,9,20240429152430
0.0,0.0,left_wrist,user1,9,20240429152430
0.0,0.0,right_wrist,user1,9,20240429152430
0.0,0.0,left_hip,user1,9,20240429152430
0.0,0.0,right_hip,user1,9,20240429152430
0.0,0.0,left_knee,user1,9,20240429152430
0.0,0.0,right_knee,user1,9,20240429152430
0.0,0.0,left_ankle,user1,9,20240429152430
0.0,0.0,right_ankle,user1,9,20240429152430
344.0379,185.70671,nose,user1,10,20240429152430
368.2163,155.50656,left_eye,user1,10,20240429152430
310.7868,156.63205,right_eye,user1,10,20240429152430
401.23828,174.75371,left_ear,user1,10,20240429152430
268.56805,180.91653,right_ear,user1,10,20240429152430
506.74152,369.44647,left_shoulder,user1,10,20240429152430
166.86794,368.33466,right_shoulder,user1,10,20240429152430
0.0,0.0,left_elbow,user1,10,20240429152430
0.0,0.0,right_elbow,user1,10,20240429152430
0.0,0.0,left_wrist,user1,10,20240429152430
